Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918222070235.1;P.S.: DOCTOR ESQUERDO, 138 MADRID;STOP;0;2
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;STOP;0;2
918223030182.1;RET.: CARMEN, 10 MADRID;EJECUTADO;0;3
918223040070.1;P.S.: DON PEDRO, 0004 MADRID;STOP;0;1
918223030300.1;P.S.: UZP0103 ENSANCHE VALLECAS, 8 MADRID;STOP;0;
918222070415.1;P.S.: FORJAS, 21 MADRID;STOP;0;2
918223040288.1;P.S.: JULIA SOLA, 4 MADRID;PEND.INST.PART;0;
918223040229.1;P.S.: JUAN DE VERA, 15 MADRID;PEND.INST.PART;0;
918223040230.1;P.S.: VALDELASIERRA, 7 MADRID;PEND.INST.PART;0;
918222110238.1;P.S.: UZP0103 ENSANCHE VALLECAS, 43 MADRID;REPROGRAMADO;96;1
918222110238.9;P.S.: UZP0103 ENSANCHE VALLECAS, 43 MADRID;REPROGRAMAR;96;1
918223040213.1;P.S.: DE ARGANDA, 200 MADRID;PEND.INST.PART;0;
918223040228.1;P.S.: RAMÍREZ DE PRADO, 2 MADRID;PEND.INST.PART;0;
918220050115.1;P.S.: UZP0204 LOS BERROCALES, 29 MADRID;PEND.INST.PART;0;2
918222020116.9;P.S.: VILLAVERDE A PERALES RIO, 9 MADRID;REPROGRAMAR;175;6
918222020116.1;P.S.: VILLAVERDE A PERALES RIO, 9 MADRID;EJECUTADO;175;6
918222120219.1;P.S.: DEMOCRACIA, 21 MADRID;STOP;0;2
918223020326.1;P.S.: ILUSION, 12 MADRID;STOP;0;15
918223030468.1;P.S.: EXTREMADURA, 152 MADRID;PROGRAMADO;63;1
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;PEND.INST.PART;0;3
918221100291.1;P.S.: MENDEZ ALVARO, 55 MADRID;STOP;0;9
918221100291.9;P.S.: MENDEZ ALVARO, 55 MADRID;PEND.INST.PART;0;9
918223030449.1;P.S.: UZP0103 ENSANCHE VALLECAS, 47 MADRID;STOP;0;8
918223050238.1;P.S.: PEÑA SORRAPIA, 70 MADRID;EJECUTADO;92;3
918222100046.1;P.S.: MENDEZ ALVARO, 47 MADRID;STOP;0;1
918222040329.1;P.S.: CERRO DEL CAMPO, 22 MADRID;PROGRAMADO;93;17
918123050260.1;P.S.: TORRE DE DON MIGUEL, 0021 MADRID;STOP;0;2
918222100170.1;P.S.: UZP0202 LOS CERROS, 360 MADRID;REPROGRAMADO;84;4
918223050357.1;P.S.: ANTONIO ZAMORA, 47 MADRID;REPROGRAMAR;163;2
918223040145.1;P.S.: HERCE, 41 MADRID;STOP;0;5
918222110247.1;P.S.: ALBUFERA, MADRID;REPROGRAMADO;49;20
918223050369.1;P.S.: DOCTOR GARCIA TAPIA, 10 MADRID;REPROGRAMAR;58;1
918222060165.1;P.S.: UZP0103 ENSANCHE VALLECAS, 38 MADRID;STOP;0;8
918222060165.9;P.S.: UZP0103 ENSANCHE VALLECAS, 38 MADRID;STOP;0;8
918223040203.1;P.S.: CIUDAD DE BARCELONA, 0033 MADRID;REPROGRAMADO;12;3
918223050130.1;RET.: ENCOMIENDA DE PALACIOS, 215 MADRID;STOP;0;
918223060001.1;RET.: ENRIQUE URQUIJO, 146 MADRID;EJECUTADO;0;3
918223050325.1;P.S.: UZP0103 ENSANCHE VALLECAS, 47 MADRID;PEND.INST.PART;0;
918222110255.1;P.S.: UZP0103 ENSANCHE VALLECAS, 43 MADRID;EJECUTADO;37;1
918222090511.1;P.S.: PALOS DE LA FRONTERA, 40 MADRID;STOP;0;2
918223020021.1;P.S.: ROBLES, 3 MADRID;STOP;0;
918223040075.1;P.F.: PIROTECNIA, 37 MADRID;REPROGRAMADO;182;5
918223050067.1;RET.: TOLEDO, 73 MADRID;STOP;0;1
918223060099.1;P.S.: MIGUEL DELIBES, 20 MADRID;REPROGRAMAR;4;
918223050193.1;P.S.: BUENOS AIRES, 0 MADRID;STOP;0;
918223050219.1;P.S.: DEL TEJO, 0 MADRID;STOP;0;
918221100305.1;P.S.: CORDEL DE PAVONES, 48 MADRID;PROGRAMADO;15;5
918223010228.1;P.S.: RICARDO DAMAS, 13 MADRID;REPROGRAMADO;242;2
918222010151.1;P.S.: IGUALDAD, 181 MADRID;PROGRAMADO;8;5
918222010151.9;P.S.: IGUALDAD, 181 MADRID;EJECUTABLE;8;5
918223050164.1;RET.: APODACA, 20 MADRID;REPROGRAMADO;0;2
918223060321.1;P.S.: EL REAL DE SAN VICENTE, 27 MADRID;STOP;0;11
918220090217.1;RET.: ALAMEDILLA, 25 MADRID;REPROGRAMAR;0;1
918222120366.1;P.S.: VICALVARO A SANTA EUGENIA, 1600 MADRID;PEND.INST.PART;0;
918223050431.1;P.S.: DUQUE DE RIVAS, 4 MADRID;PEND.INST.PART;0;6
918223050350.1;RET.: ENCOMIENDA DE PALACIOS, 222 MADRID;REPROGRAMAR;0;1
918223060061.1;RET.: SIERRA DE TORNAVACAS, 17 MADRID;REPROGRAMAR;0;1
918223050407.1;P.S.: EDUARDO CHILLIDA, 37 MADRID;EJECUTADO;65;1
